内容总时长:2小时34分钟[00:05 - 00:06] 喂喂喂。
[03:18 - 03:59] 嗯，然后第二种可能是有史诗级的利好政策资金在强跑。但是这种咱们散户不知道这个利好政策是什么，有可能比如说强跑个三五天，强跑个一星期利好政策才会出来，但它已经涨到了一个散户入场，有点有点那什么高的地步了。嗯啊，这也是一种可能。第三种可能我觉得。第三种可能我觉得啊就是。他他他还想割一波老登，就是还是之前的故事，让你感受到一波错觉。嗯，然后呢，再借着长心长心一上，把老登。

[04:01 - 04:54] 哥的妈都不认识，然后这波形成最后一波上涨，就是因为这一波老登们可能就真绷不住了，就是前一段的阴跌，很多老老登是能是能忍住的，就阴跌这个事儿你就忍就完了，大家就僵化了，大家逐渐就心有点死了。嗯，但是你现在往上往上一波，有些老登可能在这个过程中认为他是反弹了。又会把自己最后一点仓位或者是卖车，或者是抵押，我操进了，然后你再下去就真绷不住了，可能就纷纷纷转战科技了，那就真可能转战科技。然后彻底疯狂。最后最后一个剧本就是从现在就不管不顾了，一直往上拉，借着停战的消息，一直往上拉拉到长新上市，再拉一星期，然后大家拜拜就玛卡巴卡，所以你认为是哪种？

[04:57 - 04:59] 我在这一轮当中没赚钱。

[05:02 - 05:07] 不是，咱们不是还是小吃一波嘛，只是吃的就有点小，就是就是。

[05:08 - 05:14] 哎呀，不要把不要把我耗住了，这样子我们就做了科技的叛徒了吗？我们。

[05:16 - 05:34] 哦那我跟直播间观众说一下，就是范子纯叛徒，就是他纯他纯是就是疯狂的想入科技。跟我说，就是咱们俩互相打气，谁也不许下车。但每一次他跑的都比我快，就是饭总这饭总这个狗人，他记得比我早，跑的比我快。

[05:36 - 05:38] 因为我是渣男战法呀。

[05:39 - 05:39] 哦。

[05:40 - 05:42] 哦，我是渣男战法的嘛。

[05:43 - 05:45] 那你今天为什么全全出掉？

[05:45 - 05:56] 我我我因为我真的很害怕，我就是那个怕了。对我是真的怕了，因为因为嗯这样冲宝来了，我们先先听一听真正的股神怎么判断好不好？

[05:57 - 05:58] 听听美国股神。

[05:58 - 06:01] 对，听听美国股神。看看美国赌这个意见。

[06:01 - 06:03] 对呃，行行。

[06:03 - 06:10] 看看看看你美美看看美美国赌那个美美国股神怎么说的，我来链接等一下。

[06:11 - 06:22] 你是不是刚才一度想说出赌徒二字，还想搁这儿搁这儿抹过去。

[06:23 - 06:32] 啊，嗯。招到我这个怎么分享呢？我操，兄弟们！哦，我可以邀请的嘛哦复制信息哦。

[06:32 - 06:36] ok对了，我看一下我的白银期货啊，现在有没有机会？

[06:37 - 06:44] ok对了，我给从宝发过去。哎呀。

[06:44 - 06:54] 你你跟连麦误我甚多。我刚才本来想开个空单的，就因为跟你连麦错过了机会，少挣了得有一两千。

[06:55 - 07:18] 我说实话哈，我说实话真的，你在这轮牛市当中，你把这个。你把这一轮吃满了，周一哪怕追涨追到现在，至少都是35%以上的收益，很吓人。我我说实话，我我也没见过，我操，比他妈这这疯牛了，都快死了。哎，我也给你分享一个，我差点忘了哦，我在那分享在群里面呢。

[07:20 - 07:27] 啊，我看看你多讲哎，我我切出去以后还能那什么吧？你就还能听见吗？

[07:29 - 07:33] 呃，应该行吧，他他进不来，你现在还能听见，对不对？我现在能听见啊。

[07:33 - 07:36] 我能听见啊，那就行，那就行，没问题。

[07:36 - 07:58] 你们没进来是吗？你们。什么情况？哎，哦哦哦，你让我进那什么是吧？对呀，我的问题哦，对不起对不起对不起，你好像我在看我我在看盘看白银，你好像那个二墩，现在很现在很忙很忙，现在很忙很忙，现在很忙，我操期货大王。

[07:58 - 08:08] 夜盘夜盘。不是，你有没有感受到你现在已经落后于时代了，现在冲宝也很忙，我也很忙，只有你很闲。对你有没有反馈一下？

[08:08 - 08:10] 我确实，我我真的有点。

[08:11 - 08:16] 我们一天16个小时赚钱，你一天只有6个小时赚钱，你怎么能打得过我们？

[08:16 - 08:24] 哎，我说实话，我最近就是不知道怎么回事，我最近真的觉得就是。就是很迷茫去整的。

[08:27 - 08:29] 哎，我现在我现在进来了，我把那个B站。

[08:29 - 08:47] 那个啊关了关了关了，对对对对对，我把它断了就行了。哎呦，天哪，这相当的迷茫，你不知道我的妈呀，大家都在挣钱，我操。哎，这个你为什么没声音呢？你进进来了吗？你你。

[08:54 - 08:58] 我没挣钱哎呀兄弟们没赚钱我。

[08:58 - 08:59] 哎喂喂喂喂。

[09:00 - 09:02] 哦，听得到，ok ok 没问题。

[09:03 - 09:03] 你好。

[09:03 - 09:14] 现在可以了，现在可以了。哎，现在 up 主群里面，我我们动漫群里面，基本上收益都在，晒图都是低于50%的，都做小孩类做的。

[09:15 - 09:17] 不挨打的全是财经区。

[09:17 - 09:18] 对。

[09:18 - 09:27] 就是收益最高的，不动漫区、生活区、游戏区、游戏区，就这三个区。啊，就知识区就是路边一条。

[09:27 - 09:50] 只要是搞金融的，就是以前炒过股的，这一波几乎全部踏空。就这一条，对，路边一条，现在就是比较，就是赚到钱的全是今年，就今年进的，基本上都是。那现在炒股，现在我看了一下收益率最高的游戏区、生活区，然后我们动画区，然后最最差的就是什么财经区，我纯纯路边一条。

[09:51 - 09:53] 财经区属于最差知识区。

[09:53 - 09:59] 第二知知识区是知知识区是垮中之垮完完犊子完蛋属于妈完蛋。

[10:00 - 10:04] 已经，但但我在反思，就是我也不是老股民，为什么我也垮？

[10:04 - 10:16] 对呀，我我也在问啊，你说你说那我们老股民不敢去，不敢怎么追科技，是因为2015年真的挨打了。那个东西太烫了，就是你涨3%干什么？

[10:17 - 10:17] 就我我在干什么？

[10:18 - 10:30] 我在搞什么行为艺术？对你在搞，对啊，我刚才就想问你，你又作为一个新股民，新股民都是见着科技就说了。你在干什么呢？你在买一些他妈老登都不买的票，呵呵。

[10:30 - 10:35] 有没有可能因为我进步太快了，所以就是一上来就是一个老股民的灵魂。

[10:37 - 10:40] 哦。哦，当然也有可能是。

[10:40 - 10:42] 某某种天赋。哎。

[10:42 - 10:43] hello hello，我来了。

[10:44 - 11:08] ok ok冲吧冲吧。刚好你来了，我们就先问问你，你你对这一次A股那个从上周科技从上周一涨到今天，而且今天大盘指数涨了一，已经又要直冲。4200点了，已经涨了6天了，妈的，这A股已经涨了6天了，你怎么看这个事情？

[11:09 - 11:12] 我觉得那是真的牛批啊。

[11:17 - 11:19] 没有其他没有其他的看法吗。

[11:20 - 11:33] 没什么看法，就我就觉得还是光吧，就是还是这个AI这这波东西吧。啊，其他我觉得没什么，然后我觉得就看怎么跑吧，对吧？多多多想想怎么跑吧。

[11:34 - 11:36] 你觉得健康吗？就是这波。

[11:36 - 12:13] 不是，这这波这波，我觉得这波本身就是，就就他妈很不健康。然后因为我其实我手里就是美股那边我手里其实拿了拿了一些属于价值投资的东西吧。嗯，然后这这轮都都都跌了一些，真的都跌了一些。哦，就是你明显你觉得它已经被低估了，就明显这个你拿什么 DCF 现金流。不算啊，或者怎么样，你发现已经他已经就已经很明显被低估了，但是市场不买账，市场还是对对，宁宁可把钱放到放到那个美光或者是放到那个什么，散迪里面。

[12:14 - 12:23] 对，不是，这听着不像在炒美股啊，怎么听着跟大 a，哈哈哈，没有什么区别啊，听着。我我觉得没没区别啊，这轮就是啊。

[12:23 - 12:27] 对我感觉就是没区别，因为这一轮的 a 股就是有点像美股了。

[12:27 - 12:32] 这轮这轮周期就是半导体周期啊。就半导体五五年一次嘛，这不又又来了嘛，对吧？

[12:33 - 12:38] 哦，确实确实，我操，就是现在 a 股越来越像美股了。

[12:38 - 13:10] 其实 a 股市场。你你你你们你们记得上一次那个什么，上一次英英伟达是因为什么涨的吗？英伟达上一次涨是因为能挖以太坊的时候涨，正好又是五年，二二二一年吧，应该是，21年左右。数字货币那一波。啊，就是能，他能挖以太坊，然后很多这个矿场开始疯狂囤那个3060吧，应该是。那个时候最先进的不就3060吗？嗯，对对对对，我印象很深刻，是因为那个那个当时我不是找了装机装机员给我们剪辑买机器嘛。

[13:10 - 13:11] 然后显卡都贵了1万块。

[13:12 - 13:18] 操。对，装机员说，说你想办法买点二手的吧，说你你别买一手的，他说我们这都没有一手的一手的太贵了。

[13:18 - 13:21] 哎，聪宝，他们说你的声音时大时小，是不是话筒出问题了？

[13:22 - 13:24] 没有吧，现在呢现在呢？

[13:24 - 13:28] 哦，你好像是麦克风是有点抽风，就一会声音大，一会声音小。

[13:28 - 13:29] 啊。

[13:29 - 13:34] 因为今天纳斯达克震荡太严重了，那不至于啊，所以波动比较大。

[13:34 - 13:39] 你你我刚可能我刚可能就是没没对着嘴巴，我可能是哦。

[13:39 - 13:43] 现在对了。现在对了吗？现在对了。哦，他他又又小了，我天。

[13:44 - 13:49] 又小，那那那我看一下怎么整啊？没。

[13:52 - 14:03] 哎，没了，他他调试一下那个麦克风，但是你看连聪宝都中了这个招了，就是。现在有很多股票，你通过所有的技术指标去看。

[14:04 - 14:06] 它已经都没什么用，它就是跌。

[14:06 - 14:18] 对，它就是跌，它的什么，它的价值投资，它的那个，它的 kdj macd 包括它的这个他的很多形态都符合，比如说低位震荡啊，然后他的价格已经严重错位了呀，等等，没有用。

[14:18 - 14:36] 你只要敢去买。我觉得，我待会也想问问冲宝，我觉得今晚纳斯达克撑不住，对。因为美债利率和美元指数现在都疯狂的往上升，我觉得可能是因为原油在补库，我不是很确定，待会问一问一问充宝。

[14:36 - 14:37] 就是就是。

[14:37 - 14:40] 来了来了来了，哎，对的，已经往上升，对的对的对的。

[14:40 - 14:42] 他不可能再往上走的。

[14:43 - 14:44] 是吗？你说那什么？

[14:44 - 14:49] 就是对，就是美元指数现在很高，然后不是，这两天又高了。

[14:49 - 15:07] 美美元指数那是上个版本的事情啊，美元指数是那三年前看比特币的事情，现在跟美元其实没有太大关系。因为那个他的吸他的吸跟。国债其实你发现国债是处于可控范围内，在那摆，然后也也也没有加息的诉求。

[15:07 - 15:12] 国债这几天又上去了，其实也有点危险，稍有点危险，没没到特别危险。

[15:12 - 15:16] 我觉得就是我觉得这个就很结构牛，真的，中美这点是一样的。

[15:16 - 15:18] 啊，对对对，中美最近有点像。

[15:18 - 15:39] 纯是纯是科技在硬拉，我觉得就是我，因为因为因为美光什么的，我们7，我我700就就在在嘛，然后现在都1,200了，我们一一千。一千零五十左右，我就我就几乎就卖光了，然后然后现在还在冲，就是呃已经很不理性了。他他计价已经计到二二七年还是二几年这样的。

[15:39 - 15:41] 就是我当时算绝绝不止二七年吧。

[15:41 - 15:42] 就就反正很夸张。

[15:42 - 15:49] 这个东西绝不止二七年啊，或者只有最优质的才会寄到二七年，有很多已经寄到二八二九年了。

[15:50 - 16:08] 嗯，反反正我觉得就是很呃就就很夸张嘛。对，然后我觉得我我我我要说一句，这是好事啊，对吧？嗯，这是好事啊，因为。因为如果到时候科技崩了话，消费可能就起来了，所以现在买点消费我觉得是有道理的。

[16:10 - 16:13] 完了，冲宝也，但是冲宝也风格转换了。

[16:14 - 16:22] 对，但是这一轮我说实话，这一轮科技崩盘的话，我说实话就是崩的就就。就有有些。

[16:22 - 16:23] 可能有些严重了。

[16:23 - 16:24] 这轮太夸张了，对。

[16:24 - 16:28] 这轮太夸张了，一会大一会小，我我我我可能这个麦坏了。

[16:28 - 16:30] 我要不换个麦试一下。行行行。

[16:30 - 16:32] 嗯，你要不换个更差的麦可能反而好。

[16:32 - 16:35] 比如说笔记本的。这一轮要是下跌。

[16:35 - 16:40] 不是，我我用的是这个就是。差麦，这个这个麦是是之前我一直给你们用的那个三角铁。

[16:40 - 16:47] 就是15块钱那个。不，我就说不要用专业麦，不要用，就是真正的麦，你就用设备上自带的麦，可能会。

[16:47 - 17:05] 我觉得这个台，不是这么自信吗？弹幕，我操，不可能炸！行行，那你给我说增量资金从哪里来呢？你告诉我，连涨6天，再涨7天、8天、9天，你告诉我增量资金从哪里来呢？

[17:07 - 17:10] 有没有可能一系列的文就会下来呢？饭总有没有这个可能。

[17:11 - 17:42] 我觉得我不我不懂这一套。我现在有一个我现在有一个看法，就在于现在现在是这个样子的，就是现在就是说明面上的资金机构都在都在进，但是私下的机构都在跑，那你又怎么看待呢？对不对？就是我们表面上的机构跟大资金都在进。今天今天中信又在股指期货上加空单了，看起来好像都很完美，但是认识的机构都在跑。

[17:44 - 17:57] 不敢看呀，所以现在不敢。但是我我现在反而敢买一些，我今天又加了点化工，就我觉得现在还是有一些机会的。我今天不跟你说了吗？我买了一点化工。

[17:57 - 18:18] 我觉得化工，而且我在。之前的时候，我觉得一五五规划当中已经说得很清楚了，不希望这么疯涨的。这不是国家想看到的这个局面，现在有很多的，就是如果这么疯涨的话。它不利于这个市场的健康发展。

[18:18 - 19:11] 第一，现在这么疯涨，所以就是踏空的是肯定不可能进了啊，除非是那种完全憋不住的，就是你已经踏空6天了，那那就那就踏空就踏空了呗，就就正常人性来说就算了。就难道连涨6天都还要追，那他妈也太小白了。就说你要信就早信了，不信就别信了，这是妈股市当中亘古不变的真理，就要信就早信，不信就别信了。那现在都走到这个位置了，你你你有一些老股民想想让这个，而且今天还有这种高低一些风格的转化，有很多老登股的那些股民们，他们拿着肯定不会动啊。那怎么可能，他这么这种涨法，怎么可能还跑？不可能跑。对呀，肯定肯定走不了了，那踏空的场外资金也进不了，肯定不可能进，在这个位置进疯了吗？

[19:12 - 19:20] 但但散户还真就在这个位置进，饭总，因为放量大涨，就是就散户就是进。

[19:22 - 20:13] 散户确实是进了，但是散户进的大多数进的就是那种。我说了，我之前的时候其实我也说了，呃，就是昨那个呃前天，就是那个就是在端午节之前运用利用这三天主力利用这三天，就是说让情绪发酵，就是让大家看到连涨五天，然后在端午节情绪发酵，然后我就知道早上呀一来就要高开。这这些都在我的判断之中，就早上来的高开，这个我在舰长直播当中都给大家说了的，我说了他会高开，然后震荡，然后等这一波筹码清洗完毕过后，中间下杀然后直接闷杀，直接把这。这个就是追进来的人，闷杀开始调整。上就是今天早上的剧本跟我想的是一模一样，我在建养群当中讲过的，跟我的剧本是一模一样的。我是完全没想到下午哪里哪里来的增量资金。

[20:15 - 20:21] 所以说这个增量资金散户的钱是不够的是吧？因为这个我我我我其实。不知道这个具体的量。

[20:21 - 20:30] 应该是不够的吧？而且有一个最把大盘拉上去。对啊，有一个最重要的一点就是散户就算要接，他也去接科技的盘呀。那券商跟保险是谁拉的呀？

[20:31 - 20:35] 券商保险肯定是肯定是妈妈拉的呀，那是必然。

[20:35 - 20:45] 然后就是现在的问题就在这个地方，就是这个位置拉券商和保险意欲何为啊？就是这个，就。就是。

[20:45 - 20:56] 有没有可能没有这么多智斗，就是你智斗看多了，他就是拉券商把指数拉上去以后骗散户进来接科技。这个故事很简单，会不会呢？

[20:56 - 21:14] 啊，就是就是单纯把场子炒热，一一根大洋。改三观其实也有可能，也有可能很直接。我说实话就是一阳改三观，现在这个位置其实一阳改三观这个这个这个这个手法是太，我说实话是太阳猛，就非常粗暴，对。

[21:14 - 21:17] 太狠毒了，没有任何谋略，就就是拉。

[21:17 - 21:46] 就这一波拉，如果是这个样子的话，太狠毒了。那但那这一波就是一阳改三观，明天如果继续再拉，再拉一根中阳。那基本上所有的风向都变了，我太了解散户了。就今天风向就已经完全变了，明天如果再拉一个中阳，那么的风向已经变完了，那绝对是牛市开启了。然后就是现在已经是要看5000点了，年末都不是4500点，都是什么少的了，明天再拉一个中阳就要眼观5000点了。

[21:48 - 21:53] 而且甚至如果这么玩的话，那短期内估计真能冲到一个比较高的点。

[21:56 - 21:59] 哎呀，我说实话，我哎呀，我真的，我我其实。

[22:00 - 22:01] 我我我我说话你们听得到吗？

[22:01 - 22:03] 啊，现在对了，现在对了，可以，现在可以。

[22:04 - 22:21] 没问题。我靠，好像那个声卡出了点问题。我靠，今天先是先是手机进水了，然后接着声卡出问题了。我靠，什么毛病？哈哈，没事，我开直播，我开直播，我试一下直播啊，因为刚刚那个直播直播好像都出问题了，然后就我就我就切一下。

[22:22 - 22:50] 而且我还是那个问题哈，就是就是要这么冲的话，哪来的增量资金呢？你知道你知道现在一个非常简单的一个道理，现在一个很小的一个微盘股，只需要500万就可以把这个微盘股拉涨停。但是现在科技。你没有个几十百八亿，你根本就拉不停，就拉不拉不了涨停。但资金还是抱团在狂拉科技，后面的钱越来越贵。

[22:50 - 23:02] 钱从哪来呀？因为因为因为因为我觉得是这样的，就是这是一个很大的故事。然后大家最后大家最后不得不赌这个故事，然后就很疯。因为因为没有人想，没有人想错过这一轮嘛。

[23:03 - 23:06] 确实确实 formal 嘛。对，这个也是，你我。

[23:06 - 23:52] 我我我之前那个有有朋友，就是他们拿了那个什么 kimmy 的那个前面找一些轮次，然后就就买了，就是 spv 还是怎么架构去去买了一些嘛，就买了买买了，就是买完还能涨到涨好多。那那 kimmy 那个那个他的他的那个股权结构本身当时。呃，早早一些的那个 VC 都说早一些的某某个 VC 以合伙人的身份都把它快掏空了，然后后面结果还能融，还能往上继续砸。嗯，呃，所以这一轮我觉得就就就真的很夸张，然后你只要稍微有点能能能吹的东西，然后你的营收只要稍微上去一点，就就很，就爆炸嘛，质朴对质朴，我觉得就是个很夸张的。因为他确实那个5.25.2.[23:52 - 24:02] 那个太太疯狂了，而且那每天的波动就不像一个那么大盘子的股票，就跟就跟一个，就跟一个一。百亿的股票一样，就是他那个波动。

[24:02 - 24:32] 对对对，是他他其实就是流通少嘛，他流通其实没没没太多，就是流通股很少，但是他好像7月8号就要解禁嘛，所以我我今天发动态了，我说我说反正反正该跑就跑了，我当时就说了，就是该跑该走就可以走了，就是再再拿没有什么意义了，因为解禁之后，那个股东们可能就可以卖了。啊，一卖可能又是另一个样子了，对吧？就是港股大家都知道港股是什么状态。

[24:32 - 24:35] 那港股完全烂的烂的烂的烂。

[24:35 - 24:38] 对对，港股流动性跟现在跟A股都没有办法比。

[24:38 - 24:43] 完全没法比了，这个港股都烂完了，烂的恒生科技烂的都已经。

[24:44 - 24:51] 对，然后反正就是嗯对，然后恒生你要知道今天质朴长成这个样子，恒生今天是跌的。

[24:51 - 24:58] 对，恒生还是跌的，恒生，恒生太吓人了，恒生，恒生烂的烂完了都已经。

[24:59 - 25:04] 有有点绞肉机。那个那个状态了，然后而且我恒恒生里面嗯。

[25:04 - 25:08] 我我都认同，但我不认同你关于kimi的看法，你知道为什么吗？

[25:08 - 25:09] 嗯。

[25:09 - 25:11] 因为我在做的kimi相单啊。

[25:13 - 25:17] 我靠，kimi不找我，那那他确实确实不太行。

[25:17 - 25:19] 他不太行，他没什么眼光，我操对。

[25:20 - 25:25] 没有什么眼光。嗯，你看质朴找了我质朴之后二十倍。上上市到现在。

[25:26 - 25:26] 哈哈哈。

[25:28 - 25:32] 这这普这个太，我操，这普这太疯狂了。

[25:32 - 25:34] 无法有有那个有那个兄弟。

[25:35 - 26:00] 我我给你们说，我给你们说，就是你接那个你接那个商单的时候。对方是什么水平，你一对接就知道了。事情越少的，提需求越少的，最后越牛逼，这种公司就是。真的，我总结出来了，基本上就是这个就不管是二级还是还是这个销销量啊，然后都很都很牛啊，反正反而是那种事情越多的，然后越越要来回改的那种。越不太行。

[26:01 - 26:13] 哎，你别说我操，你别说我刚才真的听出来，冲宝确实有那个有那个有那个突然带一点那种外港的口音了，我操，我还真听出来了。

[26:14 - 26:15] 什么外，炒没炒的？

[26:15 - 26:27] 最近肯定是在疯狂的是在香港或者是在外面不停的跑，肯定是就是说话带了一点真的，聪宝真的带了一点那个，我感觉老前锋的口音。

[26:27 - 26:46] 确不是，确实被好像被南南方人影响了一下，对，就是可能是可能是，对吧，住在菲住在菲律宾铁笼里，然后，对吧，这这边那个那个在啊，对吧，电电我一下，对吧，就这种，就可能那电太多了。

[26:46 - 26:52] 哈哈哈，啊，哎，我戴着疯狂掩饰，我也觉得你的声音带有一些金钱的腐朽。

[26:52 - 26:53] 没有没有没有。

[26:53 - 26:54] 那个有个弹幕说。

[26:55 - 26:56] 他说柬埔寨。

[26:56 - 26:58] 柬埔寨如果不拉科技的话。

[26:59 - 27:02] 柬埔寨的。电棍实在太猛了。

[27:02 - 27:57] 弹幕有人说，如果不拉科技，人就跑完了。我说你是纯纯，那我只能说你你对你连这个基本的概念都没，现在没搞懂。如果说当如果这个节前的时候，四年羊加上那个中间的时候，这个情绪的发酵，还有很多人鼓吹这个跑步进入科技，然后还有说这个就是说现在走出独立行情。很多人都是看的是节后回来是继续涨的，很多就是你看评论，看看雪球，看东方财富吧，各各种都是。所以说如果它回调，不仅人不会跑，场外踏空的资金会疯狂的进，就跟今天就跟今天那个今天下杀的时候那一波，怎么可能没人进啊？你在说啥呀？不不不多的是人有人进，还有人加仓的，场外踏空的资金啊，你只要敢回调，场外踏空的资金忙不忙不慌的往里面进。怎么可能会没资金进啊？

[27:58 - 28:08] 因为恰恰他到四。千点没往下没往下杀下去，又拉回来了。这个在大家看来是每一次都能微回来，那错过这么多次了。

[28:08 - 28:26] 对呀，就是大家已经相信这个故事，就是科技不套人，纯信。大家已经相信了科技不套人的这种想法了。现在每一次下跌，大家都知道，现在所有人的心理观点都是每一次的下跌，就是他妈的都都是都是买点啊，从此以后可能都没有这个价格了。大家都是疯狂是嚷往上冲。

[28:26 - 29:26] 你你知道科技现在最最吓人的一点是什么吗？科技现在最吓人的一点是明面上已经公布了半导体公司所有的股东都在减持，而且是然后明面上也提示了很多半导体公司和科技公司75家公司披露了，根本就没有什么业务，就是很多股民们幻想的，根本就没有这些业务，人家早就已经说了，没有这些业务，也没有做这些业务，人家都说了，没有用。照样涨，第二天科技照样拉，就是那个那个股票照样那个火箭般的这种上涨。也就是说这两个。这么大的利空，换个以往的话，早他妈盘早都给你砸的妈都不认识啊，现在根本都不认。就就这种情况下，你你告诉我回调的时候没有资金进，现在最大家最信的就是科技了，只要敢回调，大家就敢往里面冲。对不对嘛？所以说这个东西，所以说回调不可能说没有资金往往往那个科技里面冲的，有的是资金，有的是踏空的资金，等着回调忙不慌的就往里面进。

[29:26 - 30:03] 但现在的问题就是他没他没怎么回，甚至在盘中就跳了下水，这个资金体量的承接直接在。直接在在盘中就直接就被承接了，而且还在还在涨。就是这个东西确实是，而且有一个非常离谱的事情，就是换做以往的公司，半导体公司或者以前比如说互联网公司减持的时候，大家都要说我妈的，你连自己公司的股票都不信任，你他妈的，你就要套我们散户。哎，轮到科技这一轮可不是这样哦，半导体公司已经在前面几个月，包括现在都在公布持续公布减持的时候，全能原谅。确。全部原谅了，不仅原谅了，而且还要说一句话。

[30:03 - 30:33] 哎，中继续创老本，呃，200多块钱就减仓了，他还不是对自己的股票，呃，没有什么，看不到未来，他自己也踏空了，看不到未来。我们没有人比我更懂半导体靶材，没有人比我更懂cpu 光模块，没有人比我更懂存存储芯片。那些老本没眼光，他们减持，哎呀，就是踏空了，说白了，就等股价以后让他们后悔去吧，还要翻十倍，还要翻十五倍。现在都是这一种。

[30:34 - 30:39] 我我我觉得这一轮这一轮我好像我觉觉得这一轮我好像见过。

[30:39 - 30:43] 就是这一轮我也见过，这一轮我真的见过。

[30:43 - 30:43] 不知道。

[30:43 - 30:45] 就是我我真没见过。

[30:45 - 31:24] 我当时我当时在 b 圈嘛，好像就是以太坊的集体抛售，大家转去全买 btc 了。啊就是本来说是龙龙大跟龙二对吧大家都叫龙大跟龙二对吧然后说。说这个龙龙二就是跟着龙大走，然后还有做他的汇率。对的，就是一一，比如说做做多BTC，什么做空BTC，同时做多以太坊啊，就是然后呢，结果突然好像以太坊就不太行了啊，因为那个什么什么一直那个什么呃，以太坊的那个基金会突然抛售，怎么怎么动不动抛售一下，慢慢慢把大家这个信心抛没了。

[31:24 - 32:24] 嗯，抛没了之后，然后好像钱全去 BTC 了，然后 BTC 又又成共识了，然后全都过来了，然后过来之后，这个事情我觉得就很就很就很抽象了，然后对吧，就就是就有点像这个板块轮动，对吧？就是那个东西，原来很看好的东西，现在不涨了，大家都不看了，完全不问了，全部去去缩缩某一个东西。然后这个东西一直在狂涨，中间虽然有震荡，但整体是向上的。然后大家都纷纷卖掉手中其他的资产，然后全部压住这个。这个东西我见过呀。因为我见过13万的BTC，对吧？12万9000的BTC，然后然后现在跌到跌到，对吧？跌到应该6万吧，啊，6万左右，六六万左右，六六开头，反正我感觉这轮我见过，我操，这轮我见过。啊，不是，他好像他好像是一种新的财富转移，就是大家也没有什么。只能集中市场，也没有什么可炒的。

[32:24 - 32:26] 对，这个才是最关键。对。

